r_mu_pct,opc_2030
4.730503,69.154781
4.743335,68.656944
4.749649,68.413845
4.759234,68.046974
4.768589,67.691347
4.772879,67.529143
4.781528,67.203813
4.787090,66.995509
4.796034,66.662467
4.806907,66.260975
4.817633,65.867989
4.822615,65.686398
4.826314,65.552109
4.838657,65.106585
4.844288,64.904796
4.850689,64.676290
4.863497,64.222594
4.873374,63.875717
4.880895,63.613169
4.887486,63.384025
4.896979,63.057903
4.903708,62.827105
4.911291,62.567305
4.916781,62.381039
4.922653,62.182485
4.937782,61.675112
4.938635,61.646666
4.951866,61.207953
4.956206,61.065005
4.962151,60.870756
4.977248,60.378244
4.979870,60.294374
4.987834,60.037713
4.994600,59.820057
5.002360,59.572750
5.014172,59.199052
5.023783,58.897457
5.032186,58.635461
5.041481,58.347485
5.042268,58.323385
5.053335,57.983924
5.062882,57.692910
5.068882,57.511029
5.076462,57.282449
5.084819,57.031874
5.095753,56.706341
5.103900,56.465519
5.110628,56.267757
5.116386,56.099221
5.127745,55.768850
5.132205,55.639892
5.141746,55.365435
5.151730,55.080378
5.157960,54.903506
5.166209,54.670604
5.174827,54.428809
5.181697,54.237057
5.188467,54.049099
5.193527,53.909195
5.208702,53.492937
5.210632,53.440280
5.224392,53.067169
5.230476,52.903423
5.237831,52.706401
5.244024,52.541364
5.251836,52.334188
5.261825,52.071094
5.271438,51.819561
5.280401,51.586676
5.288612,51.374645
5.289719,51.346217
5.296832,51.163639
5.306825,50.908826
5.320567,50.561359
5.322636,50.509403
5.333890,50.227863
5.344104,49.974309
5.345698,49.934850
5.354262,49.724034
5.362221,49.529177
5.375564,49.205059
5.383613,49.010964
5.391636,48.818639
5.399495,48.631362
5.403940,48.525743
5.413293,48.305053
5.419527,48.158614
5.424269,48.047663
5.435929,47.776545
5.446906,47.523376
5.449546,47.462806
5.463562,47.142951
5.471405,46.965300
5.475657,46.869486
5.486071,46.635943
5.489924,46.549916
5.502757,46.265261
5.505271,46.209706
5.518001,45.930398
5.521182,45.860898
5.531812,45.629962
5.538126,45.493795
5.550916,45.219477
5.556866,45.092738
5.559982,45.026649
5.569251,44.830620
5.578215,44.642290
5.584508,44.510743
5.596813,44.255332
5.602762,44.132558
5.606757,44.050425
5.621950,43.740204
5.629733,43.582499
5.633569,43.505132
5.639033,43.395189
5.646378,43.248110
5.657354,43.029730
5.662195,42.933986
5.677696,42.629368
5.684810,42.490735
5.687041,42.447408
5.700607,42.185169
5.705076,42.099292
5.710580,41.993939
5.719426,41.825351
5.732538,41.577458
5.740417,41.426303
