income_threshold,population_below,population_fraction,income_below,income_fraction,country,decile
2192.5010226342433,2764191189.442993,0.3580824832464438,3490716922422.8643,0.03889143052043578,Jordan,2
2204.2890653884047,2787077678.9929934,0.36104727491576,3541165361083.055,0.03945349613349485,Pakistan,9
2206.6368312608574,2788284167.5689936,0.36120356744246823,3543827643211.352,0.03948315765080477,Tunisia,3
2212.4348614312357,2788335406.9689937,0.36121020516407815,3543941007046.191,0.039484420681237815,Cabo Verde,5
2213.230048570149,2789028322.268994,0.3612999677073679,3545474588009.265,0.03950150690128899,Paraguay,2
2221.6531922210047,2789099472.568994,0.36130918475292,3545632659300.3877,0.039503268034824755,Comoros,9
2222.009004855676,2789111923.474994,0.3613107976845277,3545660325325.638,0.03950357627273769,Kiribati,8
2223.163889299588,2789718572.674994,0.36138938503146123,3547009005920.551,0.039518602446104646,Nicaragua,8
2230.4419930097242,2790002357.574994,0.3614261474674635,3547641971678.4927,0.039525654563003235,Albania,2
2238.121209637545,2790179167.174994,0.36144905196874094,3548037692994.3203,0.03953006344759686,Kosovo,3
2243.2615581253417,2794686572.074994,0.3620329561305636,3558148981133.396,0.03964271722871757,Iraq,2
2249.8677956202855,2796920520.639994,0.36232234922777595,3563175070066.862,0.03969871483404895,Burkina Faso,10
2250.3239747528205,2798935814.4399943,0.36258341706242186,3567710134021.1724,0.03974924173972608,Zambia,9
2255.7661286068064,2799994907.139994,0.36272061543909445,3570099199460.887,0.039775859243987334,Tajikistan,9
2259.573587547842,2821108980.0399942,0.36545580238432235,3617808000911.287,0.0403074014967844,Brazil,2
2263.827331972697,2821113315.6899943,0.36545636403878545,3617817816074.259,0.04030751085132023,Marshall Islands,2
2266.8321633574506,2824135946.5899944,0.3658479256582361,3624669613016.337,0.04038384937736949,"Yemen, Rep.",8
2270.407947004166,2824136990.5399942,0.36584806089497723,3624671983208.7134,0.04038387578460163,Nauru,1
2274.9488956609994,2824359995.594994,0.3658769497085209,3625179308312.3125,0.040389528090261584,Botswana,4
2289.6422549977765,2826540295.594994,0.3661593929929087,3630171415320.8843,0.04044514708979355,Sri Lanka,3
2290.9715626051398,2826824063.794994,0.3661961532655376,3630821520197.456,0.04045239016025732,Jamaica,3
2304.9514872618247,2827198243.594994,0.366244625756325,3631683986483.969,0.04046199923151792,Bosnia and Herzegovina,3
2305.634369704346,2827325410.994994,0.3662610994425714,3631977188012.115,0.040465265903411915,Trinidad and Tobago,2
2305.991622325948,2827326472.3949943,0.36626123693984336,3631979635591.623,0.04046529317284409,Tuvalu,6
2308.8391624196056,2827767523.094994,0.36631837210853097,3632997950720.3955,0.04047663861647608,Turkmenistan,8
2310.020493128903,2829580006.8949943,0.3665531672639553,3637184825441.86,0.0405232862109234,Guatemala,4
2319.244835355335,2839548072.3949943,0.3678444634887011,3660303209871.2188,0.04078085709442979,Viet Nam,4
2329.21248113274,2840265479.7169943,0.36793739880965215,3661974203959.6772,0.040799474287383446,Lao PDR,7
2331.1586923349764,2841104664.7169943,0.3680461096144079,3663930477366.9043,0.040821269887825126,Azerbaijan,6
2351.213470652156,2841292290.916994,0.3680704153338801,3664371626615.7915,0.040826184902632554,North Macedonia,2
2366.503065573299,2841303103.016994,0.36807181596912986,3664397213483.587,0.04082646997584623,"Micronesia, Fed. Sts.",6
2370.404562642743,2841322974.041994,0.36807439012753246,3664444315851.911,0.04082699476159246,Samoa,4
2379.605123087339,2844722591.5919943,0.3685147878464173,3672534063190.4287,0.0409171257729394,Morocco,6
2380.2193203175284,2844751934.4249945,0.3685185890142042,3672603905568.448,0.04091790391394954,Vanuatu,5
2391.7579425606273,2853834862.8379946,0.3696952216486249,3694328071741.9507,0.04115994127135426,"Iran, Islamic Rep.",2
2392.2720021607943,2857537827.867995,0.3701749160049275,3703186571308.2,0.04125863724930167,Algeria,2
2393.408001363031,2858114597.0879946,0.37024963260027244,3704567015374.288,0.04127401731181512,Lebanon,2
2395.1481008178503,2859928144.887995,0.37048456558978143,3708910730943.2007,0.041322412330948216,Ecuador,3
2400.3779648259856,2864396146.287995,0.3710633652916873,3719635623050.5723,0.04144190251176285,Ukraine,7
2402.6573461417574,2867817931.087995,0.3715066346295677,3727856999437.2085,0.04153350005336508,Peru,2
2406.0204644037676,2896166724.187995,0.37517903119499235,3796064775776.957,0.04229342933248564,Indonesia,3
2411.3742376475525,3039442535.659994,0.39373945442366964,4141556376438.583,0.04614268519629242,India,8
2417.6101334882487,3042182151.330994,0.3940943533128489,4148179699046.656,0.046216478201211164,Cameroon,9
2428.673838935922,3042260242.730994,0.39410446953148787,4148369357586.882,0.046218591260535,Bhutan,4
2432.7014284847023,3045533698.6429944,0.39452852385386744,4156332698460.086,0.046307313928446385,Mozambique,10
2435.4627972126227,3049764203.342994,0.3950765574465318,4166635935270.369,0.04642210628412804,Argentina,1
2436.587283651092,3053211445.566994,0.39552312462344646,4175035441837.0327,0.04651568844312379,Malaysia,1
2440.24413520335,3053287804.166994,0.39553301636943333,4175221775462.855,0.046517764458287245,Guyana,5
2452.6625912913973,3053631178.9669943,0.3955774982784771,4176063957989.607,0.0465271475403167,Mongolia,3
2457.414930748587,3053876957.2669945,0.39560933721361596,4176667937253.681,0.04653387670744957,Moldova,3
2461.893746278602,3057025006.8759947,0.39601714598808824,4184418100899.053,0.046620224285220724,Angola,7
2467.6960405537206,3079676071.9549947,0.39895143999157195,4240314044508.826,0.04724298266282209,Nigeria,7
2470.9355696495013,3080130788.1349945,0.3990103454318065,4241437618892.0835,0.047255500840615396,Mauritania,9
2471.878273173271,3082408639.7049947,0.39930542586971823,4247068190697.48,0.04731823322397002,Mali,10
2475.054152735596,3083309793.221995,0.399422164281441,4249298594451.983,0.04734308301688607,Togo,10
2485.2618274302968,3083368839.602995,0.3994298133452308,4249445340168.73,0.04734471796780701,Solomon Islands,8
2485.399875949639,3086091308.202995,0.39978249094603197,4256211763289.447,0.04742010531101459,"Venezuela, RB",1
2493.715350703762,3086847166.6979947,0.39988040735930547,4258096659221.388,0.04744110566733237,Papua New Guinea,8
2497.53482474077,3086857715.6979947,0.3998817739117097,4258123005716.2544,0.04744139920384573,Tonga,2
2502.5453757257333,3087370706.6979947,0.3999482284651663,4259406788971.0933,0.0474557023307874,Costa Rica,1
2507.6010575736514,3098594323.1319947,0.40140217291699787,4287551141410.7925,0.04776926947237375,"Egypt, Arab Rep.",3
2519.606721175302,3110083443.031995,0.40289051156731287,4316499205131.221,0.048091791072923,Philippines,5
2527.157454602431,3110600020.531995,0.40295743072786,4317804677811.226,0.048106335850159054,West Bank and Gaza,6
2534.261031062543,3110705504.6319947,0.402971095487597,4318072002055.253,0.04810931421319852,Djibouti,7
2569.722031544832,3113726123.181995,0.4033623964205626,4325834152092.081,0.048195795336003794,C̫te d'Ivoire,8
2573.8629117319224,3117362309.081995,0.40383343998715476,4335193196120.2534,0.04830006807385351,Uzbekistan,4
2581.4210771133767,3118444879.381995,0.40397367972990245,4337987765910.1304,0.04833120345928662,Honduras,7
2595.3409515312546,3119651367.9579954,0.4041299722566106,4341119015118.978,0.048366089920650994,Tunisia,4
2603.058542391596,3119867057.9579954,0.404157913453698,4341680468815.9863,0.04837234529395479,Gabon,2
2603.114362717436,3120706242.9579954,0.4042666242584538,4343864963342.4634,0.04839668359436323,Azerbaijan,7
2605.2663611349753,3121440348.401995,0.4043617227094423,4345777503561.2427,0.04841799194639785,Jordan,3
2616.15873082796,3122664764.3019953,0.4045203376010869,4348980769908.1924,0.04845368077861756,Bolivia,6
2642.4103563217095,3122727080.7019954,0.40452841027397013,4349145435408.921,0.04845551538079901,Suriname,2
2649.7554338601485,3122910119.4459953,0.4045521217191958,4349630443315.442,0.04846091904191434,Equatorial Guinea,3
2655.4261824653527,3123149302.0969954,0.4045831062321147,4350265575189.299,0.0484679952923501,Namibia,6
2657.986760351858,3123780264.4969954,0.40466484319151536,4351942664894.779,0.04848668039893615,El Salvador,4
2664.8216314695983,3128287669.3969955,0.405248747353338,4363954094974.091,0.048620504398063646,Iraq,3
2667.546000374164,3128300120.3029957,0.4052503602849457,4363987308338.5923,0.04862087444103378,Kiribati,9
2669.29979199441,3130480420.3029957,0.4055328035693335,4369807182675.0776,0.048685715917276426,Sri Lanka,4
2672.340913914663,3130531659.702996,0.40553944129094344,4369944111820.102,0.04868724149796609,Cabo Verde,6
2689.794913289332,3131001390.7449956,0.4056002918061392,4371207591987.488,0.04870131842033931,"Congo, Rep.",8
2692.9951584336345,3147939880.4449954,0.4077945598717438,4416822862740.766,0.04920953583601581,Bangladesh,9
2697.5003061768484,3157907945.9449954,0.40908585609648956,4443711722479.007,0.049509115046683434,Viet Nam,5
2700.2213702459608,3163405990.3589954,0.4097980909825146,4458557659500.251,0.04967451938653799,Kenya,9
2702.362341988626,3163689775.2589955,0.40983485341851683,4459324549127.236,0.04968306360118145,Albania,3
2703.452309781286,3163727909.9189954,0.4098397935086968,4459427644361.896,0.04968421222515895,Belize,3
2718.305292179366,3166698412.4189954,0.41022460224253265,4467502377028.078,0.04977417595222048,Nepal,10
